0.264,0.285,0.719,0.200,0.244,0.268,0.462,0.411,0.934,0.854
0.751,0.649,0.088,0.973,0.277,0.421,0.759,0.458,0.680,0.954
0.191,0.483,0.653,0.386,0.983,0.983,0.046,0.515,0.830,0.197
0.816,0.319,0.111,0.987,0.730,0.272,0.432,0.058,0.097,0.461
0.373,0.971,0.380,0.168,0.218,0.320,0.836,0.015,0.020,0.165
0.044,0.035,0.765,0.958,0.070,0.936,0.201,0.586,0.405,0.479
0.483,0.426,0.128,0.130,0.688,0.284,0.923,0.219,0.210,0.384
0.013,0.925,0.301,0.054,0.463,0.811,0.183,0.546,0.357,0.574
0.986,0.646,0.372,0.534,0.884,0.857,0.766,0.925,0.761,0.611
0.261,0.780,0.028,0.263,0.353,0.151,0.426,0.336,0.614,0.674
0.836,0.963,0.672,0.654,0.070,0.140,0.832,0.733,0.701,0.279
0.456,0.453,0.127,0.953,0.983,0.147,0.051,0.003,0.042,0.796
0.088,0.075,0.487,0.811,0.344,0.021,0.217,0.478,0.408,0.252
0.126,0.178,0.459,0.159,0.781,0.407,0.986,0.731,0.108,0.020
0.777,0.930,0.764,0.635,0.175,0.721,0.656,0.603,0.205,0.188
0.920,0.554,0.804,0.119,0.881,0.972,0.656,0.839,0.457,0.370
0.645,0.042,0.080,0.876,0.021,0.277,0.257,0.388,0.012,0.712
0.504,0.561,0.191,0.117,0.050,0.799,0.345,0.225,0.795,0.429
0.827,0.180,0.987,0.944,0.905,0.096,0.041,0.735,0.030,0.287
0.073,0.099,0.531,0.557,0.370,0.645,0.537,0.563,0.696,0.096
0.380,0.549,0.407,0.259,0.511,0.393,0.538,0.240,0.801,0.476
0.558,0.422,0.018,0.414,0.383,0.225,0.142,0.635,0.448,0.765
0.728,0.707,0.891,0.689,0.566,0.989,0.374,0.132,0.608,0.434
0.133,0.346,0.097,0.762,0.206,0.292,0.287,0.975,0.035,0.517
0.339,0.230,0.833,0.829,0.536,0.119,0.783,0.342,0.439,0.554
0.434,0.183,0.985,0.829,0.615,0.900,0.659,0.273,0.750,0.684
0.515,0.984,0.522,0.409,0.939,0.153,0.846,0.408,0.498,0.033
0.713,0.632,0.296,0.196,0.050,0.597,0.580,0.748,0.616,0.308
0.386,0.378,0.108,0.778,0.861,0.011,0.721,0.856,0.171,0.741
0.857,0.256,0.472,0.521,0.446,0.068,0.688,0.568,0.041,0.704
0.307,0.066,0.151,0.656,0.683,0.863,0.725,0.973,0.492,0.200
0.378,0.717,0.977,0.226,0.150,0.206,0.291,0.690,0.865,0.696
0.009,0.286,0.176,0.942,0.647,0.992,0.788,0.976,0.911,0.768
0.436,0.081,0.289,0.275,0.140,0.333,0.837,0.223,0.047,0.646
0.326,0.324,0.311,0.477,0.626,0.283,0.134,0.735,0.706,0.894
0.603,0.687,0.144,0.621,0.079,0.838,0.653,0.815,0.602,0.842
0.029,0.650,0.237,0.388,0.714,0.429,0.366,0.243,0.681,0.921
0.995,0.357,0.263,0.467,0.637,0.953,0.315,0.388,0.221,0.922
0.686,0.822,0.229,0.231,0.762,0.863,0.273,0.969,0.141,0.694
0.400,0.683,0.304,0.005,0.338,0.369,0.733,0.196,0.541,0.359
0.407,0.782,0.801,0.882,0.709,0.827,0.569,0.520,0.710,0.376
0.559,0.736,0.820,0.466,0.417,0.431,0.194,0.589,0.953,0.562
0.139,0.452,0.897,0.911,0.844,0.912,0.671,0.557,0.179,0.974
0.766,0.750,0.023,0.388,0.671,0.736,0.762,0.877,0.521,0.414
0.716,0.510,0.951,0.204,0.589,0.883,0.131,0.663,0.843,0.808
0.402,0.397,0.013,0.653,0.557,0.137,0.359,0.928,0.327,0.411
0.312,0.902,0.013,0.316,0.899,0.385,0.675,0.692,0.109,0.985
0.082,0.216,0.284,0.510,0.436,0.543,0.389,0.409,0.668,0.595
0.694,0.860,0.923,0.273,0.939,0.165,0.470,0.920,0.118,0.822
0.093,0.254,0.570,0.984,0.938,0.218,0.972,0.022,0.675,0.551
0.133,0.635,0.868,0.776,0.289,0.220,0.152,0.320,0.395,0.069
0.600,0.239,0.765,0.995,0.134,0.347,0.181,0.958,0.507,0.230
0.854,0.998,0.057,0.053,0.021,0.591,0.224,0.651,0.246,0.924
0.783,0.332,0.476,0.685,0.260,0.528,0.210,0.017,0.486,0.380
0.620,0.982,0.820,0.852,0.163,0.178,0.028,0.360,0.186,0.653
0.889,0.941,0.055,0.622,0.791,0.319,0.762,0.438,0.721,0.093
0.595,0.842,0.661,0.103,0.828,0.893,0.911,0.939,0.064,0.588
0.053,0.903,0.693,0.254,0.419,0.928,0.265,0.623,0.519,0.409
0.918,0.549,0.360,0.320,0.139,0.684,0.328,0.135,0.077,0.954
0.742,0.885,0.156,0.832,0.184,0.040,0.959,0.861,0.410,0.780
0.052,0.490,0.589,0.639,0.422,0.989,0.497,0.790,0.749,0.417
0.306,0.767,0.586,0.005,0.108,0.019,0.783,0.422,0.967,0.444
0.097,0.155,0.188,0.566,0.517,0.706,0.852,0.942,0.085,0.404
0.221,0.924,0.246,0.489,0.513,0.781,0.598,0.795,0.093,0.668
0.399,0.047,0.712,0.920,0.615,0.634,0.659,0.755,0.160,0.901
0.805,0.304,0.783,0.994,0.629,0.879,0.938,0.412,0.441,0.490
0.873,0.337,0.282,0.750,0.940,0.647,0.630,0.743,0.183,0.149
0.535,0.145,0.843,0.514,0.485,0.418,0.778,0.591,0.486,0.717
0.795,0.263,0.226,0.688,0.927,0.985,0.312,0.698,0.295,0.716
0.496,0.353,0.833,0.579,0.270,0.641,0.846,0.763,0.522,0.394
0.944,0.322,0.871,0.097,0.788,0.039,0.522,0.892,0.773,0.612
0.366,0.000,0.481,0.325,0.167,0.164,0.798,0.874,0.828,0.001
0.021,0.964,0.857,0.802,0.034,0.512,0.076,0.452,0.518,0.962
0.289,0.838,0.866,0.405,0.656,0.042,0.887,0.755,0.974,0.927
0.442,0.974,0.411,0.898,0.558,0.050,0.203,0.664,0.382,0.073
0.678,0.196,0.541,0.546,0.334,0.226,0.530,0.872,0.685,0.768
0.139,0.418,0.672,0.792,0.702,0.612,0.641,0.921,0.780,0.861
0.067,0.063,0.454,0.769,0.106,0.662,0.889,0.284,0.532,0.951
0.567,0.067,0.966,0.062,0.680,0.096,0.474,0.986,0.937,0.750
0.192,0.694,0.517,0.053,0.120,0.950,0.739,0.686,0.153,0.982
0.057,0.986,0.499,0.500,0.425,0.837,0.898,0.781,0.429,0.288
0.808,0.234,0.519,0.592,0.330,0.434,0.393,0.587,0.568,0.590
0.867,0.231,0.085,0.023,0.483,0.724,0.082,0.339,0.685,0.047
0.512,0.135,0.778,0.820,0.419,0.430,0.148,0.844,0.984,0.916
0.592,0.548,0.210,0.920,0.612,0.560,0.988,0.010,0.195,0.999
0.978,0.060,0.153,0.031,0.727,0.200,0.528,0.655,0.465,0.733
0.842,0.798,0.666,0.031,0.211,0.552,0.432,0.654,0.936,0.487
0.341,0.312,0.633,0.941,0.322,0.368,0.822,0.968,0.009,0.942
0.080,0.424,0.009,0.692,0.928,0.747,0.465,0.919,0.777,0.496
0.170,0.071,0.715,0.693,0.715,0.775,0.570,0.004,0.357,0.105
0.587,0.352,0.984,0.003,0.049,0.111,0.796,0.903,0.948,0.681
0.741,0.895,0.360,0.678,0.355,0.272,0.843,0.849,0.379,0.245
0.293,0.305,0.465,0.619,0.270,0.499,0.424,0.968,0.524,0.310
0.713,0.973,0.471,0.598,0.661,0.053,0.146,0.827,0.591,0.146
0.794,0.284,0.859,0.478,0.421,0.267,0.690,0.817,0.438,0.463
0.268,0.973,0.358,0.856,0.448,0.018,0.077,0.952,0.755,0.203
0.707,0.098,0.952,0.425,0.558,0.071,0.922,0.952,0.235,0.464
0.678,0.928,0.237,0.827,0.614,0.307,0.517,0.568,0.382,0.019
0.792,0.242,0.112,0.371,0.895,0.957,0.311,0.393,0.836,0.140
0.128,0.275,0.411,0.368,0.461,0.857,0.388,0.896,0.299,0.336
0.839,0.368,0.057,0.024,0.218,0.914,0.514,0.292,0.801,0.648
0.499,0.767,0.436,0.329,0.483,0.551,0.116,0.364,0.610,0.704
0.384,0.138,0.618,0.883,0.737,0.155,0.630,0.085,0.320,0.200
0.936,0.083,0.939,0.023,0.236,0.925,0.305,0.414,0.381,0.349
0.959,0.044,0.229,0.390,0.968,0.351,0.401,0.210,0.254,0.460
0.954,0.279,0.490,0.728,0.670,0.395,0.645,0.733,0.823,0.481
0.489,0.300,0.423,0.605,0.880,0.618,0.584,0.994,0.728,0.715
0.481,0.725,0.193,0.108,0.719,0.345,0.943,0.928,0.846,0.500
0.342,0.689,0.927,0.437,0.788,0.535,0.789,0.357,0.855,0.630
0.595,0.050,0.040,0.232,0.281,0.255,0.978,0.050,0.512,0.409
0.853,0.679,0.357,0.246,0.524,0.625,0.936,0.545,0.569,0.228
0.497,0.300,0.687,0.330,0.034,0.634,0.481,0.001,0.733,0.655
0.690,0.623,0.533,0.861,0.104,0.931,0.655,0.200,0.959,0.695
0.496,0.723,0.336,0.105,0.307,0.053,0.024,0.353,0.002,0.416
0.047,0.060,0.758,0.212,0.481,0.292,0.756,0.405,0.953,0.814
0.484,0.008,0.688,0.473,0.546,0.829,0.688,0.332,0.714,0.432
0.702,0.513,0.925,0.937,0.006,0.550,0.851,0.329,0.626,0.277
0.336,0.617,0.762,0.105,0.936,0.226,0.467,0.861,0.401,0.714
0.178,0.641,0.962,0.798,0.912,0.761,0.217,0.459,0.661,0.079
0.599,0.471,0.759,0.196,0.849,0.023,0.225,0.894,0.794,0.089
0.170,0.298,0.341,0.180,0.171,0.645,0.064,0.463,0.737,0.380
0.537,0.627,0.486,0.360,0.977,0.806,0.566,0.782,0.309,0.592
0.722,0.258,0.886,0.453,0.758,0.201,0.514,0.572,0.296,0.941
0.460,0.418,0.349,0.917,0.431,0.131,0.237,0.969,0.377,0.596
0.503,0.176,0.137,0.952,0.305,0.968,0.670,0.397,0.538,0.259
0.050,0.290,0.732,0.800,0.204,0.015,0.185,0.483,0.595,0.698
0.153,0.740,0.110,0.003,0.432,0.138,0.343,0.461,0.759,0.379
0.377,0.065,0.163,0.135,0.016,0.823,0.545,0.444,0.283,0.115
0.319,0.450,0.376,0.315,0.990,0.819,0.631,0.579,0.409,0.090
0.050,0.265,0.839,0.468,0.322,0.763,0.933,0.102,0.619,0.646
